timestamp,total_transfer_vol_within_exchanges_btc_all_exchanges
2012-03-20T00:00:00Z,0.87708519
2012-03-21T00:00:00Z,0.01006915
2012-03-22T00:00:00Z,0.09392236
2012-03-23T00:00:00Z,0.0305107
2012-03-24T00:00:00Z,0.0100943
2012-03-25T00:00:00Z,0.03309205
2012-03-26T00:00:00Z,0.07297749
2012-03-27T00:00:00Z,0.14545726
2012-03-28T00:00:00Z,0.09380077
2012-03-29T00:00:00Z,0.03034026
2012-03-30T00:00:00Z,0.09189097
2012-03-31T00:00:00Z,0.02222298
2012-04-01T00:00:00Z,0.0321959
2012-04-02T00:00:00Z,0.93866804
2012-04-03T00:00:00Z,0.16507877
2012-04-04T00:00:00Z,0.1218232
2012-04-05T00:00:00Z,0.10653526
2012-04-06T00:00:00Z,51.96929094
2012-04-07T00:00:00Z,0.08977659
2012-04-08T00:00:00Z,0.15155353
2012-04-09T00:00:00Z,0.03184697
2012-04-10T00:00:00Z,0.17429363
2012-04-11T00:00:00Z,0.27434267
2012-04-12T00:00:00Z,0.21168808
2012-04-13T00:00:00Z,0.12192174
2012-04-14T00:00:00Z,0.15548715
2012-04-15T00:00:00Z,0
2012-04-16T00:00:00Z,0.62613631
2012-04-17T00:00:00Z,0.43344235
2012-04-18T00:00:00Z,52.92439009
2012-04-19T00:00:00Z,40.9455433
2012-04-20T00:00:00Z,45.52709922
2012-04-21T00:00:00Z,0
2012-04-22T00:00:00Z,6.26374427
2012-04-23T00:00:00Z,0.50397302
2012-04-24T00:00:00Z,6.81890714
2012-04-25T00:00:00Z,5.00503741
2012-04-26T00:00:00Z,37.80069504
2012-04-27T00:00:00Z,208.0905465
2012-04-28T00:00:00Z,50.24849215
2012-04-29T00:00:00Z,0.02031371
2012-04-30T00:00:00Z,43.08806599
2012-05-01T00:00:00Z,0.0489678
2012-05-02T00:00:00Z,6.66483378
2012-05-03T00:00:00Z,0.71371673
2012-05-04T00:00:00Z,2.21624726
2012-05-05T00:00:00Z,3.82683317
2012-05-06T00:00:00Z,101.2327259
2012-05-07T00:00:00Z,16.06606976
2012-05-08T00:00:00Z,98.19337249
2012-05-09T00:00:00Z,1.35827823
2012-05-10T00:00:00Z,3.6134845
2012-05-11T00:00:00Z,31.26917173
2012-05-12T00:00:00Z,6.9959
2012-05-13T00:00:00Z,121.1261768
2012-05-14T00:00:00Z,39.97712845
2012-05-15T00:00:00Z,146.7652158
2012-05-16T00:00:00Z,28.15017614
2012-05-17T00:00:00Z,28.1335327
2012-05-18T00:00:00Z,71.67462998
2012-05-19T00:00:00Z,6.44059243
2012-05-20T00:00:00Z,1.60768123
2012-05-21T00:00:00Z,34.78767189
2012-05-22T00:00:00Z,31.84900918
2012-05-23T00:00:00Z,42.31819808
2012-05-24T00:00:00Z,208.0589211
2012-05-25T00:00:00Z,77.69248705
2012-05-26T00:00:00Z,42.2339243
2012-05-27T00:00:00Z,3.33582296
2012-05-28T00:00:00Z,0.59369529
2012-05-29T00:00:00Z,11.70809158
2012-05-30T00:00:00Z,829.7718789
2012-05-31T00:00:00Z,7.93687444
2012-06-01T00:00:00Z,3.6346871
2012-06-02T00:00:00Z,2.517822
2012-06-03T00:00:00Z,4.13155936
2012-06-04T00:00:00Z,1.36963745
2012-06-05T00:00:00Z,1040.548563
2012-06-06T00:00:00Z,30.38299349
2012-06-07T00:00:00Z,32.51662016
2012-06-08T00:00:00Z,866.0126842
2012-06-09T00:00:00Z,19.11919243
2012-06-10T00:00:00Z,0
2012-06-11T00:00:00Z,1.75537206
2012-06-12T00:00:00Z,45.77389251
2012-06-13T00:00:00Z,726.3770431
2012-06-14T00:00:00Z,158.3122159
2012-06-15T00:00:00Z,2.23368272
2012-06-16T00:00:00Z,0.03622319
2012-06-17T00:00:00Z,142.2828025
2012-06-18T00:00:00Z,30.45142407
2012-06-19T00:00:00Z,200.4450766
2012-06-20T00:00:00Z,579.9680198
2012-06-21T00:00:00Z,15.58137624
2012-06-22T00:00:00Z,124.6882907
2012-06-23T00:00:00Z,3.65480328
2012-06-24T00:00:00Z,8.22501886
