timestamp,total_transfer_vol_bw_exchanges_btc_from_all_exchanges_to_all_exchanges
2013-11-26T00:00:00Z,1058.040997
2013-11-27T00:00:00Z,311.0728021
2013-11-28T00:00:00Z,1075.491712
2013-11-29T00:00:00Z,1547.422556
2013-11-30T00:00:00Z,1012.828633
2013-12-01T00:00:00Z,2646.089264
2013-12-02T00:00:00Z,56.34679837
2013-12-03T00:00:00Z,54.07682287
2013-12-04T00:00:00Z,66.01351202
2013-12-05T00:00:00Z,2963.515277
2013-12-06T00:00:00Z,2817.346639
2013-12-07T00:00:00Z,1109.901274
2013-12-08T00:00:00Z,1002.316217
2013-12-09T00:00:00Z,86.9730294
2013-12-10T00:00:00Z,1051.862841
2013-12-11T00:00:00Z,75.55338904
2013-12-12T00:00:00Z,1693.992718
2013-12-13T00:00:00Z,162.6144554
2013-12-14T00:00:00Z,60.48930396
2013-12-15T00:00:00Z,1003.549787
2013-12-16T00:00:00Z,1113.197672
2013-12-17T00:00:00Z,94.8577019
2013-12-18T00:00:00Z,2645.271019
2013-12-19T00:00:00Z,1092.754824
2013-12-20T00:00:00Z,105.5804969
2013-12-21T00:00:00Z,24.10582216
2013-12-22T00:00:00Z,5511.890474
2013-12-23T00:00:00Z,60.82285616
2013-12-24T00:00:00Z,68.36717985
2013-12-25T00:00:00Z,26.43239918
2013-12-26T00:00:00Z,1152.500169
2013-12-27T00:00:00Z,128.0210243
2013-12-28T00:00:00Z,44.68873745
2013-12-29T00:00:00Z,24.44198328
2013-12-30T00:00:00Z,120.4606372
2013-12-31T00:00:00Z,74.56298622
2014-01-01T00:00:00Z,74.32252142
2014-01-02T00:00:00Z,118.0832631
2014-01-03T00:00:00Z,102.9813068
2014-01-04T00:00:00Z,98.6906526
2014-01-05T00:00:00Z,355.8082639
2014-01-06T00:00:00Z,480.5039611
2014-01-07T00:00:00Z,97.0074106
2014-01-08T00:00:00Z,342.0303831
2014-01-09T00:00:00Z,514.4024077
2014-01-10T00:00:00Z,353.7331542
2014-01-11T00:00:00Z,350.887596
2014-01-12T00:00:00Z,260.7003638
2014-01-13T00:00:00Z,278.7629845
2014-01-14T00:00:00Z,129.0249899
2014-01-15T00:00:00Z,348.4664836
2014-01-16T00:00:00Z,62.73003906
2014-01-17T00:00:00Z,235.0625816
2014-01-18T00:00:00Z,43.6794769
2014-01-19T00:00:00Z,377.3053264
2014-01-20T00:00:00Z,294.6989983
2014-01-21T00:00:00Z,253.1885906
2014-01-22T00:00:00Z,198.349334
2014-01-23T00:00:00Z,106.6496172
2014-01-24T00:00:00Z,167.5046376
2014-01-25T00:00:00Z,469.3479494
2014-01-26T00:00:00Z,197.4106766
2014-01-27T00:00:00Z,955.6643965
2014-01-28T00:00:00Z,272.0029239
2014-01-29T00:00:00Z,52.57834043
2014-01-30T00:00:00Z,286.8073161
